participant_code,participant_type,age_group,language,mfa_before,mfa_after,screen_lock_before,screen_lock_after,bank_limit_before,bank_limit_after,scam_quiz_score_before,scam_quiz_score_after,used_public_wifi,scanned_unknown_qr,inserted_unknown_usb,fell_for_social_link,risk_score_before,risk_score_after
P1038,engineering student,31-35,english,0,0,1,1,0,0,1,4,0,1,1,0,10,8
P1039,engineering student,26-30,english,0,1,1,1,0,1,2,4,0,0,0,1,9,3
P1040,engineering student,18-25,english,1,1,1,1,0,1,1,2,1,0,0,0,6,3
P1041,engineering student,26-30,telugu,1,1,1,1,1,1,2,4,1,1,0,1,6,3
P1042,engineering student,18-25,hindi,1,1,1,1,1,1,2,3,1,1,0,0,5,3
P1043,engineering student,31-35,hindi,1,1,1,1,0,1,3,4,1,0,0,0,6,3
P1044,engineering student,26-30,english,0,0,1,1,0,0,2,5,0,0,1,1,10,8
P1045,engineering student,26-30,telugu,1,1,1,1,1,1,1,3,1,1,0,1,6,3
P1046,engineering student,31-35,hindi,1,1,1,1,0,0,3,4,0,1,0,0,6,5
P1047,engineering student,18-25,english,0,1,1,1,0,0,2,4,1,0,0,0,9,5
P1048,engineering student,26-30,telugu,1,1,1,1,0,1,1,3,0,0,1,1,7,3
P1049,engineering student,26-30,hindi,1,1,1,1,0,1,2,3,1,0,1,1,8,3
P1050,engineering student,18-25,hindi,1,1,1,1,0,0,3,5,0,1,0,0,6,5
P1051,engineering student,26-30,hindi,1,1,1,1,1,1,3,5,0,1,1,1,6,3
P1052,engineering student,18-25,telugu,1,1,1,1,1,1,1,2,0,1,1,0,5,3
P1053,engineering student,31-35,hindi,1,1,1,1,1,1,2,5,0,0,0,1,4,3
P1054,engineering student,26-30,hindi,0,0,1,1,0,1,3,4,0,1,1,1,11,6
P1055,engineering student,26-30,telugu,1,1,1,1,0,0,2,4,1,0,0,1,7,5
P1056,engineering student,31-35,hindi,0,0,1,1,0,0,3,5,1,0,0,1,10,8
P1057,engineering student,26-30,telugu,1,1,1,1,1,1,1,2,1,0,0,1,5,3
P1058,engineering student,31-35,english,0,1,1,1,1,1,2,4,0,0,0,0,6,3
P1059,engineering student,26-30,hindi,0,1,1,1,0,1,1,3,1,0,0,0,9,3
P1060,engineering student,31-35,english,0,1,1,1,1,1,1,3,1,0,1,0,8,3
P1061,engineering student,26-30,telugu,0,1,1,1,1,1,1,2,0,0,1,1,8,3
P1062,engineering student,31-35,english,0,1,1,1,1,1,2,5,1,0,1,1,9,3
P1063,engineering student,31-35,telugu,1,1,1,1,1,1,2,5,1,0,0,1,5,3
P1064,engineering student,31-35,english,0,1,1,1,1,1,2,5,1,1,1,1,10,3
P1065,engineering student,18-25,english,0,1,1,1,0,1,1,4,0,1,0,1,10,3
P1066,engineering student,31-35,hindi,0,1,1,1,1,1,2,5,0,1,0,1,8,3
P1067,engineering student,31-35,hindi,0,0,1,1,1,1,2,5,1,1,1,0,9,6
P1068,engineering student,26-30,telugu,1,1,1,1,1,1,1,3,0,1,1,0,5,3
P1069,engineering student,18-25,english,0,1,1,1,1,1,3,4,0,1,0,0,7,3
P1070,engineering student,18-25,english,1,1,1,1,0,1,1,2,0,1,1,0,7,3
P1071,engineering student,18-25,telugu,0,1,1,1,0,1,2,4,0,1,1,1,11,3
P1072,engineering student,26-30,telugu,1,1,1,1,1,1,1,2,1,0,1,0,5,3
P1073,engineering student,26-30,hindi,1,1,1,1,1,1,1,3,1,0,1,0,5,3
P1074,engineering student,26-30,telugu,0,0,1,1,1,1,3,5,0,1,0,0,7,6
P1075,engineering student,31-35,hindi,1,1,1,1,0,0,3,4,0,0,0,0,5,5
P1076,engineering student,26-30,telugu,0,0,1,1,0,0,3,5,0,1,0,0,9,8
P1077,engineering student,18-25,telugu,0,1,1,1,0,1,1,4,0,0,0,1,9,3
P1078,engineering student,26-30,telugu,1,1,1,1,0,0,2,3,0,1,1,1,8,5
P1079,engineering student,26-30,telugu,0,1,1,1,1,1,2,5,0,0,1,1,8,3
P1080,engineering student,31-35,english,1,1,1,1,1,1,2,3,1,1,1,1,7,3
P1081,engineering student,26-30,english,0,1,1,1,1,1,1,2,1,1,1,0,9,3
P1082,engineering student,18-25,english,1,1,1,1,1,1,2,5,1,0,1,0,5,3
P1083,engineering student,18-25,hindi,0,1,1,1,1,1,2,5,1,0,0,0,7,3
P1084,engineering student,26-30,telugu,1,1,1,1,0,1,2,3,1,0,1,1,8,3
P1085,engineering student,18-25,english,1,1,1,1,0,0,1,3,1,0,0,1,7,5
P1086,engineering student,26-30,hindi,1,1,1,1,1,1,2,4,1,0,0,0,4,3
P1087,engineering student,18-25,telugu,1,1,1,1,0,0,1,3,0,0,0,1,6,5
P1088,engineering student,31-35,hindi,0,1,1,1,0,1,3,4,1,0,1,1,11,3
P1089,engineering student,26-30,english,1,1,1,1,1,1,3,5,1,1,0,1,6,3
P1090,engineering student,26-30,english,1,1,1,1,0,1,2,3,1,1,1,0,8,3
P1091,engineering student,31-35,telugu,0,0,1,1,1,1,1,3,1,1,1,0,9,6
P1092,engineering student,18-25,hindi,1,1,1,1,0,0,1,3,1,0,1,1,8,5
P1093,engineering student,31-35,hindi,0,1,1,1,0,1,1,3,0,0,0,0,8,3
P1094,engineering student,18-25,english,0,0,1,1,1,1,1,2,0,0,0,1,7,6
P1095,engineering student,26-30,english,1,1,1,1,1,1,2,5,1,1,0,0,5,3
P1096,engineering student,26-30,hindi,1,1,1,1,0,1,1,2,0,1,0,1,7,3
P1097,engineering student,18-25,telugu,0,1,1,1,0,0,2,4,1,0,1,0,10,5
P1098,engineering student,18-25,english,0,0,1,1,0,0,2,4,0,0,1,1,10,8
P1099,engineering student,31-35,telugu,0,0,1,1,0,0,3,5,1,1,1,0,11,8
P1100,engineering student,31-35,telugu,1,1,1,1,1,1,2,3,0,1,0,1,5,3
P1101,engineering student,18-25,telugu,1,1,1,1,0,0,3,5,1,0,1,0,7,5
P1102,engineering student,18-25,telugu,0,1,1,1,0,1,2,4,1,1,0,0,10,3
P1103,engineering student,26-30,telugu,1,1,1,1,1,1,3,5,0,0,1,1,5,3
P1104,engineering student,18-25,english,1,1,1,1,1,1,1,4,1,0,0,0,4,3
P1105,engineering student,18-25,english,0,1,1,1,0,0,3,5,0,1,0,0,9,5
P1106,engineering student,31-35,hindi,0,1,1,1,0,0,2,3,0,0,1,0,9,5
P1107,engineering student,31-35,telugu,1,1,1,1,0,0,1,4,1,0,1,0,7,5
P1108,engineering student,18-25,hindi,1,1,1,1,0,0,2,4,0,0,0,1,6,5
P1109,engineering student,18-25,telugu,1,1,1,1,1,1,1,2,0,0,1,1,5,3
P1110,engineering student,26-30,english,0,1,1,1,1,1,1,2,1,0,1,0,8,3
P1111,engineering student,31-35,english,0,0,1,1,0,1,2,4,0,0,0,0,8,6
P1112,engineering student,26-30,hindi,0,0,1,1,1,1,1,2,1,1,1,0,9,6
P1113,engineering student,31-35,hindi,1,1,1,1,0,0,3,5,0,0,1,1,7,5
P1114,engineering student,31-35,english,0,0,1,1,0,1,1,3,1,1,0,1,11,6
P1115,engineering student,31-35,hindi,0,1,1,1,1,1,1,4,1,0,1,1,9,3
P1116,engineering student,18-25,hindi,0,0,1,1,1,1,3,5,1,1,1,1,10,6
P1117,engineering student,26-30,telugu,0,0,1,1,1,1,3,5,1,1,0,1,9,6
P1118,engineering student,18-25,hindi,1,1,1,1,1,1,2,4,0,1,1,1,6,3
P1119,engineering student,26-30,hindi,0,1,1,1,0,1,2,4,0,0,1,1,10,3
P1120,engineering student,31-35,hindi,0,0,1,1,0,1,2,4,1,1,1,1,12,6
P1121,engineering student,26-30,english,1,1,1,1,0,1,3,5,0,0,1,0,6,3
P1122,engineering student,31-35,english,0,1,1,1,1,1,3,4,0,1,0,0,7,3
P1123,engineering student,31-35,telugu,1,1,1,1,0,0,1,4,0,1,1,1,8,5
P1124,engineering student,26-30,english,1,1,1,1,1,1,2,3,0,1,0,1,5,3
P1125,engineering student,26-30,english,0,1,1,1,0,1,2,3,0,0,1,0,9,3
P1126,engineering student,26-30,telugu,0,1,1,1,0,0,1,4,0,0,0,1,9,5
P1127,engineering student,18-25,telugu,1,1,1,1,1,1,2,4,0,1,0,0,4,3
P1128,engineering student,26-30,english,0,0,1,1,0,0,1,2,0,0,1,0,9,8
P1129,engineering student,26-30,english,0,0,1,1,1,1,2,5,0,1,1,1,9,6
P1130,engineering student,18-25,telugu,1,1,1,1,1,1,1,4,0,1,1,0,5,3
P1131,engineering student,31-35,english,1,1,1,1,0,1,3,5,0,0,0,1,6,3
P1132,engineering student,18-25,english,0,0,1,1,1,1,2,3,1,1,0,1,9,6
P1133,engineering student,31-35,telugu,0,1,1,1,1,1,1,2,1,0,1,1,9,3
P1134,engineering student,26-30,telugu,0,1,1,1,1,1,1,4,1,1,0,0,8,3
P1135,engineering student,31-35,telugu,1,1,1,1,1,1,2,5,0,1,1,1,6,3
P1136,engineering student,26-30,telugu,1,1,1,1,0,0,3,5,1,1,1,1,9,5
P1137,engineering student,31-35,english,0,1,1,1,0,1,3,4,0,1,0,1,10,3
P1138,engineering student,18-25,telugu,1,1,1,1,0,0,1,3,1,0,1,0,7,5
P1139,engineering student,18-25,hindi,1,1,1,1,0,1,2,5,0,0,1,1,7,3
P1140,engineering student,18-25,hindi,0,0,1,1,1,1,2,4,0,0,1,1,8,6
P1141,engineering student,18-25,hindi,1,1,1,1,0,1,2,5,0,1,0,0,6,3
P1142,engineering student,31-35,telugu,0,1,1,1,0,1,3,5,1,1,1,0,11,3
P1143,engineering student,31-35,telugu,1,1,1,1,0,0,3,5,1,1,0,1,8,5
P1144,engineering student,31-35,telugu,0,1,1,1,0,1,3,4,0,1,1,1,11,3
P1145,engineering student,18-25,telugu,0,1,1,1,1,1,3,5,0,0,0,0,6,3
P1146,engineering student,26-30,hindi,0,0,1,1,0,0,2,4,0,0,1,1,10,8
P1147,engineering student,31-35,hindi,0,1,1,1,0,1,2,3,0,0,1,0,9,3
P1148,engineering student,18-25,telugu,1,1,1,1,1,1,2,3,1,1,0,1,6,3
P1149,engineering student,26-30,hindi,0,1,1,1,1,1,3,5,1,0,0,0,7,3
P1150,engineering student,18-25,english,0,1,1,1,1,1,1,3,0,1,1,1,9,3
P1151,engineering student,18-25,telugu,0,1,1,1,1,1,2,4,0,1,0,0,7,3
P1152,engineering student,26-30,english,1,1,1,1,1,1,1,4,1,1,1,1,7,3
P1153,engineering student,18-25,telugu,1,1,1,1,1,1,3,5,0,1,0,0,4,3
P1154,engineering student,18-25,english,1,1,1,1,0,0,2,4,1,1,0,0,7,5
P1155,engineering student,26-30,english,1,1,1,1,1,1,1,3,1,0,1,1,6,3
P1156,engineering student,31-35,english,1,1,1,1,0,0,1,2,1,1,1,1,9,5
P1157,engineering student,26-30,english,1,1,1,1,0,0,2,3,1,0,1,0,7,5
P1158,engineering student,26-30,english,1,1,1,1,1,1,1,3,0,0,1,1,5,3
P1159,engineering student,26-30,hindi,0,0,1,1,0,0,1,3,1,1,1,1,12,8
P1160,engineering student,26-30,telugu,0,1,1,1,1,1,1,2,1,0,1,1,9,3
P1161,engineering student,26-30,hindi,0,1,1,1,0,1,2,4,0,1,1,0,10,3
P1162,engineering student,18-25,hindi,1,1,1,1,0,0,1,2,1,0,1,0,7,5
P1163,engineering student,18-25,english,1,1,1,1,0,1,3,5,0,0,0,1,6,3
P1164,engineering student,18-25,telugu,0,1,1,1,1,1,1,3,1,0,0,1,8,3
P1165,engineering student,18-25,hindi,1,1,1,1,1,1,2,4,1,0,0,0,4,3
P1166,engineering student,31-35,telugu,1,1,1,1,1,1,1,2,0,1,1,1,6,3
P1167,engineering student,26-30,telugu,0,1,1,1,0,1,3,5,1,1,1,1,12,3
P1168,engineering student,18-25,english,1,1,1,1,0,1,3,4,1,1,1,1,9,3
P1169,engineering student,18-25,telugu,0,1,1,1,0,0,1,4,1,1,0,1,11,5
P1170,engineering student,31-35,hindi,1,1,1,1,0,1,1,3,0,0,1,1,7,3
P1171,engineering student,18-25,hindi,1,1,1,1,1,1,3,5,1,0,0,0,4,3
P1172,engineering student,26-30,hindi,1,1,1,1,1,1,3,5,0,0,0,1,4,3
P1173,engineering student,31-35,english,0,1,1,1,0,0,3,4,0,1,1,0,10,5
P1174,engineering student,26-30,hindi,0,1,1,1,1,1,1,4,1,0,0,1,8,3
P1175,engineering student,31-35,telugu,1,1,1,1,1,1,2,5,1,1,0,1,6,3
P1176,engineering student,18-25,telugu,0,1,1,1,0,1,1,3,0,1,1,1,11,3
P1177,engineering student,31-35,english,1,1,1,1,1,1,1,2,0,0,1,1,5,3
P1178,engineering student,18-25,hindi,1,1,1,1,1,1,3,4,1,0,1,1,6,3
P1179,engineering student,18-25,telugu,1,1,1,1,0,1,3,5,1,1,1,1,9,3
P1180,engineering student,18-25,hindi,1,1,1,1,0,0,1,3,0,0,0,0,5,5
P1181,engineering student,26-30,hindi,1,1,1,1,1,1,1,4,1,0,0,1,5,3
P1182,engineering student,18-25,english,1,1,1,1,1,1,3,4,1,1,0,1,6,3
P1183,engineering student,26-30,english,1,1,1,1,1,1,3,4,0,1,0,0,4,3
P1184,engineering student,31-35,english,0,0,1,1,0,0,3,4,0,0,1,0,9,8
P1185,engineering student,26-30,telugu,0,1,1,1,0,1,3,5,1,1,1,0,11,3
P1186,engineering student,26-30,telugu,1,1,1,1,0,1,2,3,1,1,0,1,8,3
P1187,engineering student,26-30,english,1,1,1,1,1,1,3,5,1,1,1,1,7,3
P1188,engineering student,31-35,hindi,1,1,1,1,1,1,1,3,0,1,1,0,5,3
P1189,engineering student,18-25,telugu,0,1,1,1,0,0,3,4,0,1,0,1,10,5
P1190,engineering student,18-25,english,0,1,1,1,0,1,3,5,1,1,0,1,11,3
P1191,engineering student,18-25,telugu,1,1,1,1,1,1,2,5,1,1,0,1,6,3
P1192,engineering student,31-35,telugu,0,1,1,1,0,1,3,4,0,0,1,0,9,3
P1193,engineering student,31-35,hindi,0,1,1,1,0,1,3,4,1,0,0,1,10,3
P1194,engineering student,18-25,hindi,0,0,1,1,1,1,2,5,1,0,1,1,9,6
P1195,engineering student,26-30,english,0,1,1,1,1,1,2,4,0,1,0,1,8,3
P1196,engineering student,26-30,hindi,1,1,1,1,1,1,3,5,1,0,1,0,5,3
P1197,engineering student,18-25,hindi,1,1,1,1,1,1,1,2,0,0,0,0,3,3
P1198,engineering student,31-35,english,1,1,1,1,1,1,3,5,1,1,0,0,5,3
P1199,engineering student,26-30,telugu,1,1,1,1,1,1,2,3,0,1,0,0,4,3
P1200,engineering student,26-30,hindi,1,1,1,1,1,1,1,4,0,1,0,0,4,3
P1201,engineering student,18-25,hindi,0,1,1,1,0,1,2,3,1,1,1,0,11,3
P1202,engineering student,26-30,telugu,0,1,1,1,1,1,2,3,0,1,1,0,8,3
P1203,engineering student,31-35,hindi,0,1,1,1,1,1,3,4,0,1,1,0,8,3
P1204,engineering student,26-30,english,0,0,1,1,1,1,1,3,0,1,0,1,8,6
P1205,engineering student,31-35,telugu,0,1,1,1,1,1,1,4,0,1,0,0,7,3
P1206,engineering student,18-25,telugu,0,1,1,1,0,1,3,5,0,0,0,1,9,3
P1207,engineering student,18-25,english,1,1,1,1,0,1,3,5,0,0,1,1,7,3
P1208,engineering student,18-25,hindi,1,1,1,1,1,1,1,4,1,0,0,0,4,3
P1209,engineering student,26-30,english,0,0,1,1,0,1,3,4,1,0,1,1,11,6
P1210,engineering student,18-25,hindi,1,1,1,1,0,0,3,4,0,0,1,1,7,5
P1211,engineering student,31-35,english,1,1,1,1,1,1,1,2,1,1,0,1,6,3
P1212,engineering student,31-35,telugu,0,1,1,1,0,0,2,3,1,0,0,1,10,5
P1213,engineering student,31-35,telugu,0,1,1,1,0,1,3,4,0,1,1,0,10,3
P1214,engineering student,31-35,english,0,1,1,1,1,1,2,5,0,1,1,0,8,3
P1215,engineering student,18-25,telugu,0,1,1,1,0,1,1,4,1,0,1,1,11,3
P1216,engineering student,18-25,hindi,1,1,1,1,0,1,1,2,0,1,0,0,6,3
P1217,engineering student,26-30,telugu,1,1,1,1,0,0,3,5,0,0,0,1,6,5
P1218,engineering student,26-30,english,0,1,1,1,0,0,3,5,1,1,0,1,11,5
P1219,engineering student,18-25,english,0,1,1,1,1,1,2,5,1,1,1,1,10,3
P1220,engineering student,31-35,english,0,1,1,1,1,1,3,5,0,0,0,0,6,3
P1221,engineering student,26-30,hindi,1,1,1,1,0,0,2,4,1,0,0,1,7,5
P1222,engineering student,31-35,hindi,1,1,1,1,1,1,2,3,1,1,1,0,6,3
P1223,engineering student,18-25,hindi,0,1,1,1,0,0,1,2,1,0,1,0,10,5
P1224,engineering student,26-30,hindi,1,1,1,1,1,1,1,2,0,0,0,1,4,3
P1225,engineering student,18-25,english,1,1,1,1,1,1,1,4,1,1,0,1,6,3
P1226,engineering student,31-35,telugu,1,1,1,1,0,0,1,4,0,1,0,0,6,5
P1227,engineering student,26-30,hindi,0,1,1,1,1,1,2,4,0,1,0,0,7,3
P1228,engineering student,26-30,english,1,1,1,1,0,0,2,4,0,0,1,0,6,5
P1229,engineering student,31-35,telugu,1,1,1,1,0,0,2,5,1,0,1,1,8,5
P1230,engineering student,18-25,english,1,1,1,1,1,1,2,4,1,0,1,0,5,3
P1231,engineering student,26-30,telugu,1,1,1,1,0,0,2,4,1,1,0,1,8,5
P1232,engineering student,31-35,english,0,1,1,1,0,0,3,5,0,1,1,1,11,5
P1233,engineering student,26-30,telugu,1,1,1,1,0,0,3,5,1,1,1,1,9,5
P1234,engineering student,26-30,telugu,1,1,1,1,0,1,3,5,1,1,0,0,7,3
P1235,engineering student,31-35,english,0,1,1,1,0,1,1,3,1,1,0,0,10,3
P1236,engineering student,26-30,english,1,1,1,1,0,1,1,3,1,1,1,0,8,3
P1237,engineering student,26-30,telugu,1,1,1,1,0,1,3,5,1,1,1,0,8,3
P1238,engineering student,31-35,telugu,1,1,1,1,1,1,3,5,0,1,0,0,4,3
P1239,engineering student,31-35,hindi,1,1,1,1,0,0,2,5,0,1,0,0,6,5
P1240,engineering student,26-30,hindi,0,0,1,1,0,0,1,4,1,1,0,1,11,8
P1241,engineering student,31-35,telugu,0,0,1,1,1,1,1,2,1,1,0,0,8,6
P1242,engineering student,26-30,english,1,1,1,1,0,0,3,5,1,1,1,0,8,5
P1243,engineering student,31-35,hindi,0,0,1,1,1,1,3,5,0,0,1,1,8,6
P1244,engineering student,26-30,telugu,0,1,1,1,1,1,2,3,1,1,1,0,9,3
P1245,engineering student,31-35,telugu,1,1,1,1,0,1,1,4,1,0,1,1,8,3
P1246,engineering student,31-35,hindi,1,1,1,1,0,0,2,4,1,1,0,0,7,5
P1247,engineering student,26-30,hindi,0,0,1,1,0,0,3,5,0,1,0,0,9,8
P1248,engineering student,26-30,telugu,0,1,1,1,0,1,1,4,1,1,0,1,11,3
P1249,engineering student,31-35,hindi,1,1,1,1,1,1,1,2,0,1,1,0,5,3
P1250,engineering student,26-30,hindi,1,1,1,1,1,1,3,4,1,1,0,1,6,3
P1251,engineering student,26-30,english,0,1,1,1,0,1,1,3,1,0,1,0,10,3
P1252,engineering student,31-35,telugu,1,1,1,1,0,1,2,5,1,0,0,0,6,3
P1253,engineering student,31-35,hindi,0,0,1,1,1,1,1,4,0,1,0,0,7,6
P1254,engineering student,26-30,english,1,1,1,1,0,1,3,5,0,0,0,0,5,3
P1255,engineering student,26-30,english,0,0,1,1,1,1,2,4,0,1,0,0,7,6
P1256,engineering student,18-25,english,0,1,1,1,0,1,1,4,1,1,1,0,11,3
P1257,engineering student,31-35,telugu,0,1,1,1,0,1,1,3,0,1,0,0,9,3
P1258,engineering student,31-35,hindi,1,1,1,1,0,0,2,5,1,0,1,1,8,5
P1259,engineering student,18-25,hindi,1,1,1,1,0,0,2,4,1,0,1,1,8,5
P1260,engineering student,26-30,english,0,1,1,1,0,1,1,4,0,1,0,0,9,3
P1261,engineering student,18-25,english,1,1,1,1,1,1,1,3,0,0,1,1,5,3
P1262,engineering student,31-35,hindi,0,1,1,1,0,0,2,4,0,0,0,1,9,5
P1263,engineering student,18-25,hindi,0,1,1,1,0,0,2,4,1,1,1,0,11,5
P1264,engineering student,31-35,english,1,1,1,1,0,1,2,5,1,0,1,1,8,3
P1265,engineering student,18-25,hindi,1,1,1,1,0,1,3,5,0,0,1,1,7,3
P1266,engineering student,26-30,telugu,1,1,1,1,0,0,1,3,1,1,1,1,9,5
P1267,engineering student,18-25,english,0,0,1,1,0,0,1,4,0,0,1,0,9,8
P1268,engineering student,31-35,english,0,0,1,1,0,1,1,3,0,1,0,1,10,6
P1269,engineering student,18-25,hindi,1,1,1,1,1,1,1,4,0,0,1,0,4,3
P1270,engineering student,26-30,telugu,0,1,1,1,1,1,3,5,0,0,1,1,8,3
P1271,engineering student,26-30,english,0,0,1,1,1,1,1,2,1,0,0,0,7,6
P1272,engineering student,31-35,hindi,1,1,1,1,1,1,1,2,1,1,1,0,6,3
P1273,engineering student,26-30,english,1,1,1,1,1,1,2,4,0,0,1,0,4,3
P1274,engineering student,26-30,hindi,1,1,1,1,1,1,3,5,0,0,1,0,4,3
P1275,engineering student,31-35,telugu,0,1,1,1,1,1,1,3,1,0,0,1,8,3
P1276,engineering student,26-30,hindi,0,1,1,1,1,1,2,5,1,0,1,1,9,3
P1277,engineering student,18-25,hindi,0,1,1,1,1,1,1,3,0,0,1,0,7,3
P1278,engineering student,26-30,english,1,1,1,1,1,1,2,5,1,0,1,1,6,3
P1279,engineering student,26-30,hindi,0,1,1,1,1,1,3,5,1,1,0,0,8,3
P1280,engineering student,26-30,telugu,0,1,1,1,1,1,2,3,1,0,1,0,8,3
P1281,engineering student,18-25,telugu,0,1,1,1,0,0,3,5,1,1,0,1,11,5
P1282,engineering student,18-25,english,0,1,1,1,0,1,3,5,1,0,0,1,10,3
P1283,engineering student,18-25,telugu,0,1,1,1,1,1,1,3,1,1,0,1,9,3
P1284,engineering student,26-30,telugu,1,1,1,1,1,1,2,3,1,1,1,0,6,3
P1285,engineering student,31-35,english,1,1,1,1,0,0,3,4,0,0,0,0,5,5
P1286,engineering student,18-25,telugu,1,1,1,1,0,0,1,4,0,0,1,1,7,5
P1287,engineering student,18-25,english,0,1,1,1,0,1,2,3,0,1,1,1,11,3
P1288,engineering student,26-30,english,0,1,1,1,0,1,3,4,1,0,1,1,11,3
P1289,engineering student,31-35,telugu,1,1,1,1,0,0,3,4,1,1,1,0,8,5
P1290,engineering student,26-30,hindi,0,1,1,1,0,0,1,2,1,1,0,0,10,5
P1291,engineering student,18-25,hindi,1,1,1,1,0,0,1,4,0,0,0,1,6,5
P1292,engineering student,18-25,hindi,1,1,1,1,1,1,1,3,0,1,0,0,4,3
P1293,engineering student,26-30,english,1,1,1,1,0,1,1,2,0,1,0,1,7,3
P1294,engineering student,26-30,english,0,1,1,1,1,1,2,5,0,0,0,0,6,3
P1295,engineering student,31-35,english,1,1,1,1,1,1,3,5,1,1,1,1,7,3
P1296,engineering student,18-25,telugu,1,1,1,1,0,1,1,2,0,1,0,0,6,3
P1297,engineering student,26-30,hindi,1,1,1,1,1,1,3,5,0,0,0,1,4,3
P1298,engineering student,26-30,hindi,1,1,1,1,0,1,3,5,0,1,0,1,7,3
P1299,engineering student,26-30,telugu,1,1,1,1,0,0,1,2,1,1,1,0,8,5
P1300,engineering student,18-25,english,1,1,1,1,0,1,2,3,0,1,1,0,7,3
